year_month,commodity,cpi_category,median_price_ghc,n_markets
2019-08,Beans/Cowpea,Food & Beverages,1.64,13
2019-08,Yam,Food & Beverages,6.4350000000000005,16
2019-08,Tomatoes,Food & Beverages,2.98,15
2019-08,Sorghum,Food & Beverages,2.85,7
2019-08,Plantain,Food & Beverages,1.6,14
2019-08,Pepper,Food & Beverages,3.895,14
2019-08,Onions,Food & Beverages,4.32,13
2019-08,Rice,Food & Beverages,3.88,15
2019-08,Maize,Food & Beverages,1.495,18
2019-08,Fish (fresh),Food & Beverages,3.39,9
2019-08,Eggs,Food & Beverages,3.99,12
2019-08,Chicken,Food & Beverages,2.875,8
2019-08,Cassava,Food & Beverages,3.115,14
2019-08,Millet,Food & Beverages,2.925,14
2019-09,Pepper,Food & Beverages,3.67,13
2019-09,Yam,Food & Beverages,6.25,15
2019-09,Tomatoes,Food & Beverages,2.6900000000000004,18
2019-09,Sorghum,Food & Beverages,2.7350000000000003,14
2019-09,Rice,Food & Beverages,4.48,12
2019-09,Plantain,Food & Beverages,1.5,15
2019-09,Onions,Food & Beverages,3.24,15
2019-09,Chicken,Food & Beverages,3.17,9
2019-09,Maize,Food & Beverages,1.42,17
2019-09,Fish (fresh),Food & Beverages,3.91,9
2019-09,Eggs,Food & Beverages,3.85,11
2019-09,Cassava,Food & Beverages,2.2649999999999997,14
2019-09,Beans/Cowpea,Food & Beverages,1.53,12
2019-09,Millet,Food & Beverages,2.99,14
2019-10,Pepper,Food & Beverages,3.255,10
2019-10,Yam,Food & Beverages,6.04,15
2019-10,Tomatoes,Food & Beverages,3.135,14
2019-10,Sorghum,Food & Beverages,1.92,9
2019-10,Rice,Food & Beverages,4.7,15
2019-10,Onions,Food & Beverages,2.5149999999999997,10
2019-10,Plantain,Food & Beverages,1.97,12
2019-10,Maize,Food & Beverages,1.33,16
2019-10,Fish (fresh),Food & Beverages,4.904999999999999,10
2019-10,Millet,Food & Beverages,2.93,13
2019-10,Eggs,Food & Beverages,3.02,11
2019-10,Chicken,Food & Beverages,7.345000000000001,4
2019-10,Cassava,Food & Beverages,2.1950000000000003,12
2019-10,Beans/Cowpea,Food & Beverages,2.39,9
2019-11,Tomatoes,Food & Beverages,2.15,15
2019-11,Sorghum,Food & Beverages,2.81,10
2019-11,Rice,Food & Beverages,3.9050000000000002,16
2019-11,Plantain,Food & Beverages,1.5,13
2019-11,Pepper,Food & Beverages,2.68,13
2019-11,Onions,Food & Beverages,2.94,9
2019-11,Yam,Food & Beverages,6.35,15
2019-11,Maize,Food & Beverages,1.555,14
2019-11,Fish (fresh),Food & Beverages,4.48,9
2019-11,Eggs,Food & Beverages,2.45,12
2019-11,Chicken,Food & Beverages,4.2,5
2019-11,Cassava,Food & Beverages,2.26,12
2019-11,Beans/Cowpea,Food & Beverages,2.39,13
2019-11,Millet,Food & Beverages,2.8899999999999997,14
2019-12,Yam,Food & Beverages,6.215,16
2019-12,Tomatoes,Food & Beverages,2.965,16
2019-12,Sorghum,Food & Beverages,2.33,9
2019-12,Rice,Food & Beverages,4.795,14
2019-12,Plantain,Food & Beverages,1.335,14
2019-12,Pepper,Food & Beverages,2.33,11
2019-12,Onions,Food & Beverages,1.54,9
2019-12,Millet,Food & Beverages,2.95,14
2019-12,Fish (fresh),Food & Beverages,3.64,13
2019-12,Eggs,Food & Beverages,2.11,11
2019-12,Chicken,Food & Beverages,3.01,5
2019-12,Cassava,Food & Beverages,2.285,12
2019-12,Beans/Cowpea,Food & Beverages,2.215,10
2019-12,Maize,Food & Beverages,1.425,16
2020-01,Pepper,Food & Beverages,2.59,9
2020-01,Tomatoes,Food & Beverages,2.9450000000000003,14
2020-01,Sorghum,Food & Beverages,2.31,9
2020-01,Rice,Food & Beverages,4.015000000000001,14
2020-01,Plantain,Food & Beverages,1.44,12
2020-01,Onions,Food & Beverages,2.21,12
2020-01,Yam,Food & Beverages,6.32,15
2020-01,Maize,Food & Beverages,1.425,16
2020-01,Fish (fresh),Food & Beverages,4.13,7
2020-01,Eggs,Food & Beverages,2.0,10
2020-01,Chicken,Food & Beverages,2.685,8
2020-01,Cassava,Food & Beverages,2.48,12
2020-01,Beans/Cowpea,Food & Beverages,1.5299999999999998,12
2020-01,Millet,Food & Beverages,2.775,14
2020-02,Tomatoes,Food & Beverages,4.48,15
2020-02,Sorghum,Food & Beverages,2.8,15
2020-02,Rice,Food & Beverages,7.335,14
2020-02,Plantain,Food & Beverages,5.33,14
2020-02,Pepper,Food & Beverages,5.855,16
2020-02,Onions,Food & Beverages,21.619999999999997,10
2020-02,Yam,Food & Beverages,3.3,13
2020-02,Maize,Food & Beverages,1.67,17
2020-02,Eggs,Food & Beverages,5.77,11
2020-02,Chicken,Food & Beverages,13.15,8
2020-02,Cassava,Food & Beverages,1.6099999999999999,12
2020-02,Beans/Cowpea,Food & Beverages,4.3100000000000005,14
2020-02,Millet,Food & Beverages,2.82,16
2020-03,Yam,Food & Beverages,7.5,14
2020-03,Tomatoes,Food & Beverages,3.02,11
2020-03,Sorghum,Food & Beverages,2.23,6
2020-03,Rice,Food & Beverages,4.46,14
2020-03,Plantain,Food & Beverages,1.8,10
2020-03,Pepper,Food & Beverages,3.17,11
2020-03,Onions,Food & Beverages,2.625,10
2020-03,Millet,Food & Beverages,3.03,9
2020-03,Fish (fresh),Food & Beverages,7.654999999999999,4
2020-03,Eggs,Food & Beverages,2.78,11
2020-03,Chicken,Food & Beverages,5.5200000000000005,4
2020-03,Cassava,Food & Beverages,2.955,14
2020-03,Beans/Cowpea,Food & Beverages,1.7,12
2020-03,Maize,Food & Beverages,2.23,12
2020-04,Pepper,Food & Beverages,20.13,13
2020-04,Tomatoes,Food & Beverages,7.56,14
2020-04,Sorghum,Food & Beverages,2.84,11
2020-04,Yam,Food & Beverages,3.07,19
2020-04,Plantain,Food & Beverages,3.8550000000000004,16
2020-04,Onions,Food & Beverages,4.475,12
2020-04,Rice,Food & Beverages,7.5,13
2020-04,Maize,Food & Beverages,1.8,17
2020-04,Beans/Cowpea,Food & Beverages,5.32,17
2020-04,Cassava,Food & Beverages,1.76,13
2020-04,Millet,Food & Beverages,2.85,17
2020-04,Eggs,Food & Beverages,5.6,11
2020-04,Fish (fresh),Food & Beverages,12.38,9
2020-04,Chicken,Food & Beverages,12.125,12
2020-05,Yam,Food & Beverages,3.14,18
2020-05,Tomatoes,Food & Beverages,8.86,18
2020-05,Sorghum,Food & Beverages,2.9299999999999997,14
2020-05,Rice,Food & Beverages,6.0,15
2020-05,Plantain,Food & Beverages,4.62,15
2020-05,Pepper,Food & Beverages,15.71,18
2020-05,Onions,Food & Beverages,13.025,16
2020-05,Fish (fresh),Food & Beverages,12.67,7
2020-05,Eggs,Food & Beverages,5.119999999999999,10
2020-05,Chicken,Food & Beverages,12.67,11
2020-05,Cassava,Food & Beverages,1.84,17
2020-05,Beans/Cowpea,Food & Beverages,4.58,17
2020-05,Millet,Food & Beverages,2.85,15
2020-05,Maize,Food & Beverages,2.1,17
2020-06,Rice,Food & Beverages,7.62,1
2020-06,Yam,Food & Beverages,3.57,1
2020-06,Tomatoes,Food & Beverages,5.38,1
2020-06,Sorghum,Food & Beverages,3.57,1
2020-06,Pepper,Food & Beverages,7.52,1
2020-06,Millet,Food & Beverages,3.57,1
2020-06,Chicken,Food & Beverages,13.19,1
2020-06,Beans/Cowpea,Food & Beverages,8.8,1
2020-06,Plantain,Food & Beverages,2.59,1
2020-07,Yam,Food & Beverages,3.38,14
2020-07,Tomatoes,Food & Beverages,6.1899999999999995,14
2020-07,Sorghum,Food & Beverages,2.79,10
2020-07,Rice,Food & Beverages,6.575,16
2020-07,Plantain,Food & Beverages,5.885,12
2020-07,Onions,Food & Beverages,19.85,14
2020-07,Pepper,Food & Beverages,6.05,13
2020-07,Maize,Food & Beverages,1.65,14
2020-07,Eggs,Food & Beverages,5.77,11
2020-07,Chicken,Food & Beverages,13.0,10
2020-07,Cassava,Food & Beverages,1.77,13
2020-07,Beans/Cowpea,Food & Beverages,3.8899999999999997,14
2020-07,Millet,Food & Beverages,2.8899999999999997,14
2020-08,Plantain,Food & Beverages,5.22,9
2020-08,Yam,Food & Beverages,2.98,12
2020-08,Tomatoes,Food & Beverages,3.38,17
2020-08,Sorghum,Food & Beverages,2.8,11
2020-08,Rice,Food & Beverages,7.17,13
2020-08,Pepper,Food & Beverages,6.97,13
2020-08,Millet,Food & Beverages,3.04,10
2020-08,Maize,Food & Beverages,1.67,14
2020-08,Eggs,Food & Beverages,8.504999999999999,12
2020-08,Cassava,Food & Beverages,1.87,13
2020-08,Beans/Cowpea,Food & Beverages,4.23,14
2020-08,Onions,Food & Beverages,25.0,13
2020-09,Yam,Food & Beverages,2.4850000000000003,12
2020-09,Tomatoes,Food & Beverages,4.59,14
2020-09,Sorghum,Food & Beverages,3.2750000000000004,10
2020-09,Rice,Food & Beverages,8.11,14
2020-09,Plantain,Food & Beverages,3.9050000000000002,12
2020-09,Pepper,Food & Beverages,5.53,13
2020-09,Millet,Food & Beverages,3.7,13
2020-09,Maize,Food & Beverages,1.67,15
2020-09,Eggs,Food & Beverages,7.365,12
2020-09,Cassava,Food & Beverages,2.0549999999999997,12
2020-09,Beans/Cowpea,Food & Beverages,4.2,14
2020-09,Onions,Food & Beverages,27.39,12
2020-10,Pepper,Food & Beverages,3.08,11
2020-10,Yam,Food & Beverages,6.35,11
2020-10,Tomatoes,Food & Beverages,2.6100000000000003,14
2020-10,Sorghum,Food & Beverages,3.5250000000000004,12
2020-10,Rice,Food & Beverages,4.5,12
2020-10,Plantain,Food & Beverages,3.78,12
2020-10,Onions,Food & Beverages,3.6799999999999997,8
2020-10,Cassava,Food & Beverages,2.65,10
2020-10,Maize,Food & Beverages,2.0,11
2020-10,Fish (fresh),Food & Beverages,4.875,10
2020-10,Eggs,Food & Beverages,3.855,12
2020-10,Chicken,Food & Beverages,2.0,1
2020-10,Beans/Cowpea,Food & Beverages,2.58,13
2020-10,Millet,Food & Beverages,3.72,11
2020-11,Plantain,Food & Beverages,3.785,14
2020-11,Rice,Food & Beverages,4.63,12
2020-11,Pepper,Food & Beverages,1.88,13
2020-11,Tomatoes,Food & Beverages,2.795,14
2020-11,Yam,Food & Beverages,7.225,14
2020-11,Sorghum,Food & Beverages,3.6900000000000004,10
2020-11,Onions,Food & Beverages,4.58,10
2020-11,Millet,Food & Beverages,3.705,12
2020-11,Maize,Food & Beverages,1.85,13
2020-11,Fish (fresh),Food & Beverages,4.085,12
2020-11,Eggs,Food & Beverages,4.38,10
2020-11,Chicken,Food & Beverages,1.675,2
2020-11,Cassava,Food & Beverages,2.68,10
2020-11,Beans/Cowpea,Food & Beverages,2.025,14
2020-12,Yam,Food & Beverages,7.65,12
2020-12,Tomatoes,Food & Beverages,2.4800000000000004,12
2020-12,Rice,Food & Beverages,4.675000000000001,12
2020-12,Plantain,Food & Beverages,4.01,11
2020-12,Pepper,Food & Beverages,4.38,10
2020-12,Onions,Food & Beverages,4.385,10
2020-12,Sorghum,Food & Beverages,4.52,7
2020-12,Maize,Food & Beverages,2.0,14
2020-12,Fish (fresh),Food & Beverages,4.9399999999999995,4
2020-12,Eggs,Food & Beverages,3.73,11
2020-12,Chicken,Food & Beverages,3.525,2
2020-12,Cassava,Food & Beverages,3.225,12
2020-12,Beans/Cowpea,Food & Beverages,2.73,8
2020-12,Millet,Food & Beverages,4.08,9
2021-01,Yam,Food & Beverages,4.47,17
2021-01,Tomatoes,Food & Beverages,3.21,17
2021-01,Sorghum,Food & Beverages,3.645,12
2021-01,Rice,Food & Beverages,5.359999999999999,14
2021-01,Plantain,Food & Beverages,4.265,16
2021-01,Pepper,Food & Beverages,2.715,14
2021-01,Onions,Food & Beverages,4.48,11
2021-01,Fish (fresh),Food & Beverages,4.1,8
2021-01,Maize,Food & Beverages,2.215,16
2021-01,Eggs,Food & Beverages,4.2299999999999995,8
2021-01,Chicken,Food & Beverages,4.25,10
2021-01,Cassava,Food & Beverages,2.08,13
2021-01,Beans/Cowpea,Food & Beverages,2.27,9
2021-01,Millet,Food & Beverages,4.21,11
2021-02,Plantain,Food & Beverages,4.33,11
2021-02,Rice,Food & Beverages,6.07,14
2021-02,Pepper,Food & Beverages,3.02,11
2021-02,Tomatoes,Food & Beverages,3.35,17
2021-02,Yam,Food & Beverages,2.71,15
2021-02,Sorghum,Food & Beverages,3.6100000000000003,10
2021-02,Onions,Food & Beverages,2.55,11
2021-02,Millet,Food & Beverages,4.095,16
2021-02,Maize,Food & Beverages,2.1550000000000002,18
2021-02,Fish (fresh),Food & Beverages,9.0,9
2021-02,Eggs,Food & Beverages,2.83,8
2021-02,Chicken,Food & Beverages,4.72,13
2021-02,Cassava,Food & Beverages,2.14,13
2021-02,Beans/Cowpea,Food & Beverages,6.904999999999999,12
2021-03,Yam,Food & Beverages,2.7649999999999997,14
2021-03,Tomatoes,Food & Beverages,3.105,14
2021-03,Sorghum,Food & Beverages,3.45,13
2021-03,Rice,Food & Beverages,5.895,14
2021-03,Plantain,Food & Beverages,3.845,12
2021-03,Pepper,Food & Beverages,4.52,11
2021-03,Onions,Food & Beverages,3.58,11
2021-03,Maize,Food & Beverages,2.16,16
2021-03,Fish (fresh),Food & Beverages,8.37,9
2021-03,Eggs,Food & Beverages,2.675,10
2021-03,Chicken,Food & Beverages,5.295,10
2021-03,Cassava,Food & Beverages,1.8450000000000002,12
2021-03,Beans/Cowpea,Food & Beverages,4.63,13
2021-03,Millet,Food & Beverages,4.135,12
