date,admin1,admin2,market,commodity,unit,price_ghc,price_usd,cpi_category,year_month
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,Maize,KG,1.5,0.28,Food & Beverages,2019-08
2019-08-15,UPPER EAST,GARU TEMPANE,Garu,Onions,KG,4.32,0.8,Food & Beverages,2019-08
2019-08-15,VOLTA,HO MUNICIPAL,Ho,Onions,KG,4.21,0.78,Food & Beverages,2019-08
2019-08-15,WESTERN,SEKONDI TAKORADI,Sekondi/Takoradi,Onions,KG,5.49,1.02,Food & Beverages,2019-08
2019-08-15,WESTERN,SEKONDI TAKORADI,Sekondi/Takoradi,Millet,KG,4.12,0.76,Food & Beverages,2019-08
2019-08-15,VOLTA,HO MUNICIPAL,Ho,Millet,KG,3.05,0.57,Food & Beverages,2019-08
2019-08-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,Millet,KG,1.7,0.32,Food & Beverages,2019-08
2019-08-15,NORTHERN,YENDI MUNICIPAL,Yendi,Millet,KG,1.47,0.27,Food & Beverages,2019-08
2019-08-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,Onions,KG,7.4,1.37,Food & Beverages,2019-08
2019-08-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,Millet,KG,2.53,0.47,Food & Beverages,2019-08
2019-08-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,Millet,KG,3.57,0.66,Food & Beverages,2019-08
2019-08-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,Millet,KG,2.69,0.5,Food & Beverages,2019-08
2019-08-15,CENTRAL,MFANTSIMAN,Mankessim,Millet,KG,4.41,0.82,Food & Beverages,2019-08
2019-08-15,CENTRAL,CAPE COAST METRO,Cape Coast,Millet,KG,3.75,0.7,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,Millet,KG,2.03,0.38,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,Millet,KG,2.92,0.54,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,KINTAMPO NORTH,Kintampo,Millet,KG,2.23,0.41,Food & Beverages,2019-08
2019-08-15,GREATER ACCRA,TEMA METROPOLIS,Tema,Millet,KG,4.86,0.9,Food & Beverages,2019-08
2019-08-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,Onions,KG,3.24,0.6,Food & Beverages,2019-08
2019-08-15,GREATER ACCRA,TEMA METROPOLIS,Tema,Onions,KG,10.37,1.92,Food & Beverages,2019-08
2019-08-15,CENTRAL,MFANTSIMAN,Mankessim,Onions,KG,4.46,0.83,Food & Beverages,2019-08
2019-08-15,UPPER WEST,WA MUNICIPAL,Wa,Tomatoes,KG,2.98,0.55,Food & Beverages,2019-08
2019-08-15,VOLTA,HO MUNICIPAL,Ho,Tomatoes,KG,1.95,0.36,Food & Beverages,2019-08
2019-08-15,WESTERN,SEKONDI TAKORADI,Sekondi/Takoradi,Tomatoes,KG,4.69,0.87,Food & Beverages,2019-08
2019-08-15,UPPER EAST,GARU TEMPANE,Garu,Sorghum,KG,0.94,0.17,Food & Beverages,2019-08
2019-08-15,NORTHERN,YENDI MUNICIPAL,Yendi,Sorghum,KG,1.32,0.24,Food & Beverages,2019-08
2019-08-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,Sorghum,KG,3.57,0.66,Food & Beverages,2019-08
2019-08-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,Sorghum,KG,3.33,0.62,Food & Beverages,2019-08
2019-08-15,CENTRAL,CAPE COAST METRO,Cape Coast,Sorghum,KG,3.75,0.7,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,Sorghum,KG,2.85,0.53,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,KINTAMPO NORTH,Kintampo,Sorghum,KG,1.78,0.33,Food & Beverages,2019-08
2019-08-15,ASHANTI,KMA,Kumasi,Plantain,KG,1.61,0.3,Food & Beverages,2019-08
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,Onions,KG,6.87,1.27,Food & Beverages,2019-08
2019-08-15,ASHANTI,KMA,Kumasi,Onions,KG,1.34,0.25,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,KINTAMPO NORTH,Kintampo,Onions,KG,3.79,0.7,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,Onions,KG,2.23,0.41,Food & Beverages,2019-08
2019-08-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,Onions,KG,3.53,0.65,Food & Beverages,2019-08
2019-08-15,CENTRAL,CAPE COAST METRO,Cape Coast,Onions,KG,7.24,1.34,Food & Beverages,2019-08
2019-08-15,ASHANTI,KMA,Kumasi,Millet,KG,2.93,0.54,Food & Beverages,2019-08
2019-08-15,UPPER EAST,GARU TEMPANE,Garu,Tomatoes,KG,4.35,0.81,Food & Beverages,2019-08
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,Pepper,KG,4.0,0.74,Food & Beverages,2019-08
2019-08-15,ASHANTI,OBUASI MUNICIPAL,Obuasi,Pepper,KG,2.11,0.39,Food & Beverages,2019-08
