source,cpi_category,product_name,price_ghc,unit,currency,url,scraped_at
Big Samps Market,Food & Beverages,Eat Ghana Bundle 2,449.0,,GHS,https://bigsampsmarket.com/product/eat-ghana-bundle-2/,2026-05-05T15:02:59.910307+00:00
Big Samps Market,Food & Beverages,Eat Ghana Bundle 3,699.0,,GHS,https://bigsampsmarket.com/product/eat-ghana-3/,2026-05-05T15:02:59.913863+00:00
Big Samps Market,Food & Beverages,Apem and Garden Eggs Bundle,245.0,,GHS,https://bigsampsmarket.com/product/apem-and-garden-eggs-bundle/,2026-05-05T15:02:59.916957+00:00
Big Samps Market,Food & Beverages,Banku and Okro Bundle (Premium),270.0,,GHS,https://bigsampsmarket.com/product/banku-and-okro-bundle-premium/,2026-05-05T15:02:59.920402+00:00
Big Samps Market,Food & Beverages,Banku and Okro Bundle (Regular),250.0,,GHS,https://bigsampsmarket.com/product/banku-and-okro-bundle-regular/,2026-05-05T15:02:59.923964+00:00
Big Samps Market,Food & Beverages,Fufu and Abenkwan Bundle,420.0,,GHS,https://bigsampsmarket.com/product/fufu-and-abenkwan-bundle/,2026-05-05T15:02:59.927276+00:00
Big Samps Market,Food & Beverages,Fufu and Nkatenkwan Bundle,399.0,,GHS,https://bigsampsmarket.com/product/fufu-nkatenkwan/,2026-05-05T15:02:59.930870+00:00
Big Samps Market,Food & Beverages,Fufu and Nkrakra,390.0,,GHS,https://bigsampsmarket.com/product/fufu-and-nkrakra/,2026-05-05T15:02:59.933814+00:00
Big Samps Market,Food & Beverages,Gob3 Bundle,245.0,3 Bundle,GHS,https://bigsampsmarket.com/product/gob3-bundle/,2026-05-05T15:02:59.937804+00:00
Big Samps Market,Food & Beverages,Okumkom package (Life saving),229.9,,GHS,https://bigsampsmarket.com/product/okumkom-package-life-saving/,2026-05-05T15:02:59.941356+00:00
Big Samps Market,Food & Beverages,Protein Bundle (Best Seller),350.0,,GHS,https://bigsampsmarket.com/product/protein-bundle/,2026-05-05T15:02:59.944748+00:00
Big Samps Market,Food & Beverages,STOCK UP – Mega Package,699.0,,GHS,https://bigsampsmarket.com/product/stock-up-mega-pckage/,2026-05-05T15:02:59.949259+00:00
Big Samps Market,Food & Beverages,STOCK UP – Protein Package,1250.0,,GHS,https://bigsampsmarket.com/product/stock-up-protein-package/,2026-05-05T15:02:59.956337+00:00
Big Samps Market,Food & Beverages,STOCK UP Mini Package,429.0,,GHS,https://bigsampsmarket.com/product/stock-up-mini-package/,2026-05-05T15:02:59.959952+00:00
Big Samps Market,Food & Beverages,Yam and Kontomire Bundle,250.0,,GHS,https://bigsampsmarket.com/product/yam-and-kontomire-bundle/,2026-05-05T15:02:59.963100+00:00
Big Samps Market,Food & Beverages,COMING SOON!!! Basic Veggie Pack,110.0,,GHS,https://bigsampsmarket.com/product/coming-soon-basic-veggie-pack/,2026-05-05T15:03:07.146687+00:00
Big Samps Market,Food & Beverages,Coming Soon!!! Student Protein Pack,229.0,,GHS,https://bigsampsmarket.com/product/student-protein-pack/,2026-05-05T15:03:07.157160+00:00
Big Samps Market,Food & Beverages,Coming Soon!!! Students Protein Mini,110.0,,GHS,https://bigsampsmarket.com/product/coming-soon-protein-mini/,2026-05-05T15:03:07.163045+00:00
Big Samps Market,Food & Beverages,COMING SOON!!! The Student Companion,345.0,,GHS,https://bigsampsmarket.com/product/coming-soon-the-student-companion/,2026-05-05T15:03:07.173608+00:00
Big Samps Market,Food & Beverages,Green Apples (3),20.0,,GHS,https://bigsampsmarket.com/product/3-green-apples/,2026-05-05T15:03:14.438624+00:00
Big Samps Market,Food & Beverages,Avocado Pear,30.0,,GHS,https://bigsampsmarket.com/product/avocado-pear/,2026-05-05T15:03:14.441896+00:00
Big Samps Market,Food & Beverages,Banana,25.0,,GHS,https://bigsampsmarket.com/product/banana/,2026-05-05T15:03:14.445071+00:00
Big Samps Market,Food & Beverages,Grapes,55.0,,GHS,https://bigsampsmarket.com/product/grapes/,2026-05-05T15:03:14.448961+00:00
Big Samps Market,Food & Beverages,Green Lemons (3pcs),10.0,3pcs,GHS,https://bigsampsmarket.com/product/green-lemons-3pcs/,2026-05-05T15:03:14.452473+00:00
Big Samps Market,Food & Beverages,Lime,10.0,,GHS,https://bigsampsmarket.com/product/lime/,2026-05-05T15:03:14.455949+00:00
Big Samps Market,Food & Beverages,Mangoes (Large size),50.0,,GHS,https://bigsampsmarket.com/product/mangoes-large-size/,2026-05-05T15:03:14.459303+00:00
Big Samps Market,Food & Beverages,Medium size Watermelon,40.0,,GHS,https://bigsampsmarket.com/product/medium-size-watermelon/,2026-05-05T15:03:14.462370+00:00
Big Samps Market,Food & Beverages,Oranges,10.0,,GHS,https://bigsampsmarket.com/product/oranges/,2026-05-05T15:03:14.466804+00:00
Big Samps Market,Food & Beverages,Palm fruits – Olonka,40.0,,GHS,https://bigsampsmarket.com/product/palm-fruits-olonka/,2026-05-05T15:03:14.470001+00:00
Big Samps Market,Food & Beverages,Pawpaw,50.0,,GHS,https://bigsampsmarket.com/product/pawpaw/,2026-05-05T15:03:14.473183+00:00
Big Samps Market,Food & Beverages,Pineapple,20.0,,GHS,https://bigsampsmarket.com/product/2-pineapples/,2026-05-05T15:03:14.476464+00:00
Big Samps Market,Food & Beverages,5kg Fortune Classic,100.0,5kg,GHS,https://bigsampsmarket.com/product/5kg-fortune-classic/,2026-05-05T15:03:20.002420+00:00
Big Samps Market,Food & Beverages,5kg Lele Rice,152.0,5kg,GHS,https://bigsampsmarket.com/product/5kg-lele-rice/,2026-05-05T15:03:20.005809+00:00
