product_name,source,cpi_category,price_ghc,unit,z_score,anomaly_score,flag_zscore,flag_iqr,flag_if,is_flagged
Full Goat Share,Big Samps Market,Food & Beverages,1780.0,,3.567263801123871,0.7936964254120425,True,True,True,True
Dell Latitude 5420 Silver,Makola Stores,Household,14500.0,,4.4162672962157865,0.7885310146205076,True,True,True,True
Cow Share – Large,Big Samps Market,Food & Beverages,1600.0,,3.470294377807314,0.7859479358168779,True,True,True,True
All Pure Nature Body Milk Lotion for Her with Lemongrass 500ml,Konzoom,Personal Care,175.99,500ml,2.648872299840476,0.7767208222026107,True,False,True,True
ASUS ZENBOOK FLIP S UX370UA,Makola Stores,Household,17500.0,,4.563283806403975,0.7730967419664844,True,True,True,True
STOCK UP – Protein Package,Big Samps Market,Food & Beverages,1250.0,,3.2457829574558827,0.7641867670197146,True,True,True,True
TCL 98”C655 PRO QLED TV,Makola Stores,General,44999.0,,2.9931053991727827,0.7636699035820713,True,False,True,True
Lenovo Thinkbook 14s Yoga ITL Multi-Touch Notebook,Makola Stores,Household,16500.0,,4.517282971413629,0.7531738749638114,True,True,True,True
Champion Carbolic Soap 115g,Konzoom,Personal Care,7.0,115g,-2.361164980693654,0.7494180574277634,False,False,True,False
Verna Natural Mineral Water — 500ml,Konzoom,General,2.0,500ml,-2.5443122258988504,0.7485539829245823,True,False,True,True
MARSTEK 5000W Hybrid Solar Power Station – Complete Energy Storage & Backup System,Makola Stores,General,39500.0,,2.918049009632289,0.7466296151529277,True,False,True,True
SAMSUNG-GALAXY-FOLD-6-SM-F956BDBHAFB,Makola Stores,General,35999.0,,2.864604564112469,0.7373424111302971,True,False,True,True
TCL P8K QLED TV,Makola Stores,General,32999.0,,2.81449765070599,0.7318751476485436,True,False,True,True
Half Goat Share,Big Samps Market,Food & Beverages,880.0,,2.9266601150155633,0.7268111418796509,True,True,True,True
SAMSUNG-GALAXY-FOLD-6-SM-F956BDBDAFB,Makola Stores,General,29999.0,,2.7596117370308124,0.7239950497865322,True,False,True,True
Verna Natural Mineral Water — 750ml,Konzoom,General,3.0,750ml,-2.3786458361501204,0.7235771482255993,False,False,True,False
TCL C755 QD-Mini LED 4K TV,Makola Stores,General,27999.0,,2.7198810724112534,0.722527004750727,True,False,True,True
Cow Share – Mini,Big Samps Market,Food & Beverages,800.0,,2.84002037592229,0.7136950289891467,True,True,True,True
Xiong Jian AAA Battery 4pieces,Konzoom,Household,5.0,4pieces,-1.6743915865126717,0.7104548502312458,False,False,True,False
Medisoft Bar Soap 90g,Konzoom,Personal Care,8.0,90g,-2.1706051572708143,0.7080325945372578,False,False,True,False
Samsung Galaxy Z Fold6 – The Ultimate Foldable Experience,Makola Stores,General,21599.0,,2.5704373393034254,0.7044940386824888,True,False,True,True
STOCK UP – Mega Package,Big Samps Market,Food & Beverages,699.0,,2.717354782967228,0.6998889664128211,True,False,True,True
Eat Ghana Bundle 3,Big Samps Market,Food & Beverages,699.0,,2.717354782967228,0.6998889664128211,True,False,True,True
"TCL P7K-UK QLED, Direct LED TV, 4K HDR TV, Smart TV Powered by Google TV",Makola Stores,General,19999.0,,2.526118074888841,0.6997436168997309,True,False,True,True
Lion Nutmeg Powder 5g x 1 piece,Konzoom,Food & Beverages,1.0,5g,-2.614026586281818,0.697081447061639,True,False,True,True
Samsung Galaxy Z Flip5 SM-F731U1,Makola Stores,General,18099.0,,2.4686349149936992,0.6891303011337941,False,False,True,False
All Pure Nature Moisturizing Hair Conditioner 500ml — 500ml,Konzoom,Personal Care,140.99,500ml,2.2923922381117436,0.6840421634296875,False,False,True,False
WishlistQuick viewCompareAdd to cartWebie Vanilla 70G Biscuit₵5.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartWebie Ginger 70G Biscuit₵5.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartEnglish Pear and Freesia₵150.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartPalm Oil (Dzomi)₵90.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartShito₵10.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartNatural Raw Salt₵80.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartWebie Ginger 70G Biscuit Wholesale₵120.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartNatural Pout (Lipbalm)₵40.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartKivo Hot Pepper₵10.00Add to cartWishlistCompareWishlistQuick viewCompareAdd to cartLippia Tea₵40.00Add to cartWishlistCompare,Shopnaw,General,5.0,70G,-2.14515217400815,0.6699984232517128,False,False,True,False
Webie Ginger 70G Biscuit,Shopnaw,General,5.0,70G,-2.14515217400815,0.6699984232517128,False,False,True,False
Webie Vanilla 70G Biscuit,Shopnaw,General,5.0,70G,-2.14515217400815,0.6699984232517128,False,False,True,False
