caused,causing,caused_col,causing_col,lag,f_stat,p_value,significant_5pct,significant_bonferroni
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,1,0.9058,0.3466,False,False
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,2,0.4535,0.6386,False,False
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,3,0.3405,0.7962,False,False
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,4,0.2622,0.9001,False,False
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,5,0.2722,0.9249,False,False
WFP Food Index (Δ),GHS/USD (log-ret),d_wfp,dlg_fx,6,0.8162,0.5666,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,1,0.7335,0.3965,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,2,0.43,0.6535,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,3,0.3397,0.7967,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,4,0.4761,0.753,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,5,0.426,0.827,False,False
WFP Food Index (Δ),Brent Crude (Δ),d_wfp,d_brent,6,1.6422,0.1726,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,1,1.9072,0.1744,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,2,0.9624,0.3907,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,3,0.7503,0.5292,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,4,0.5747,0.6829,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,5,0.5488,0.7379,False,False
GHS/USD (log-ret),WFP Food Index (Δ),dlg_fx,d_wfp,6,0.4157,0.8623,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,1,0.0046,0.9465,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,2,0.9175,0.4077,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,3,0.6472,0.5897,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,4,0.4868,0.7453,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,5,1.0265,0.4193,False,False
GHS/USD (log-ret),Brent Crude (Δ),dlg_fx,d_brent,6,0.7578,0.6089,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,1,0.4117,0.5245,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,2,0.2849,0.7536,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,3,0.1896,0.9028,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,4,0.1271,0.9716,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,5,0.1491,0.9788,False,False
Brent Crude (Δ),WFP Food Index (Δ),d_brent,d_wfp,6,0.2697,0.9465,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,1,0.4636,0.4996,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,2,0.3449,0.7103,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,3,0.2267,0.8772,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,4,1.4278,0.2459,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,5,1.0402,0.4118,False,False
Brent Crude (Δ),GHS/USD (log-ret),d_brent,dlg_fx,6,0.8974,0.5105,False,False
